block,embedding_mode,backend,backend_version,dimension,storage_type,dataset_id,corpus_size,scale_level,real_unique_segments,physical_rows,replication_factor,filter_selectivity_target,filter_selectivity_actual,strategy,pattern,returned_count,underfilled,filter_correctness,topk_agreement,ann_recall_vs_exact,quality_vs_groundtruth,p50_ms,p95_ms,p99_ms,cold_ms,ingest_s,index_build_s,vector_storage_mb,index_storage_mb,metadata_storage_mb,storage_amplification,index_params_json,settings_json,plan_used_vector_index,indexed_vectors_count,max_limit_setting,hardware_profile
C,synthetic,clickhouse,25.8,2048,Array(Float32),auair,1866,L2,1866,1866,1.0,10pct,0.10021436227224008,prefilter,A,10,False,True,1.0,1.0,,112.081,112.081,,112.081,,,,,,,"{""dimension"":2048}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",False,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,2048,Array(Float32),auair,1866,L2,1866,1866,1.0,1pct,0.010182207931404072,prefilter,A,10,False,True,1.0,1.0,,126.929,126.929,,126.929,,,,,,,"{""dimension"":2048}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",False,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,2048,Array(Float32),auair,1866,L2,1866,1866,1.0,0.1pct,0.0010718113612004287,prefilter,A,2,True,True,1.0,1.0,,74.067,74.067,,74.067,,,,,,,"{""dimension"":2048}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",False,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,2048,Array(Float32),auair,1866,L2,1866,1866,1.0,100pct,1.0,postfilter,A,10,False,True,1.0,1.0,,198.393,198.393,,198.393,,,,,,,"{""dimension"":2048}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",True,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,2048,Array(Float32),auair,1866,L2,1866,1866,1.0,50pct,0.5,postfilter,A,10,False,True,1.0,1.0,,154.696,154.696,,154.696,,,,,,,"{""dimension"":2048}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",True,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,2048,Array(Float32),auair,1866,L2,1866,1866,1.0,10pct,0.10021436227224008,postfilter,A,10,False,True,1.0,1.0,,122.585,122.585,,122.585,,,,,,,"{""dimension"":2048}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",True,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,2048,Array(Float32),auair,1866,L2,1866,1866,1.0,1pct,0.010182207931404072,postfilter,A,10,False,True,1.0,1.0,,130.163,130.163,,130.163,,,,,,,"{""dimension"":2048}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",True,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,2048,Array(Float32),auair,1866,L2,1866,1866,1.0,0.1pct,0.0010718113612004287,postfilter,A,2,True,True,1.0,1.0,,78.504,78.504,,78.504,,,,,,,"{""dimension"":2048}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",True,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,512,Array(Float32),auair,1866,L2,1866,1866,1.0,100pct,1.0,exact,A,10,False,True,1.0,1.0,,158.66,158.66,,158.66,,,,,,,"{""dimension"":512}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",False,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,512,Array(Float32),auair,1866,L2,1866,1866,1.0,50pct,0.5,exact,A,10,False,True,1.0,1.0,,130.499,130.499,,130.499,,,,,,,"{""dimension"":512}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",False,,100,Windows-AMD64-docker-cpu
