strategy,n_queries,underfilled_count,mean_mrr,mean_ndcg@10,mean_map,mean_total_latency_s,mean_agreement_vs_2048_exact_at10
2048d_exact,28,0,0.7619047619047619,0.37063445635630377,0.15603993781293649,0.057004874999977674,
2048d_hnsw,28,8,0.7142857142857143,0.3068965278660931,0.11561702739002606,0.062166292857097814,
256d_exact,28,0,0.7738095238095238,0.39842076997822756,0.16670373655944198,0.050827535714136375,
256d_hnsw,28,12,0.755952380952381,0.30307494323495543,0.11065128511225371,0.052203985714316205,
512d_exact,28,0,0.8333333333333333,0.39687216038715206,0.1646727859548514,0.054917014285787706,
512d_hnsw,28,8,0.8333333333333333,0.36371291786322285,0.1415505378326033,0.05445675714304343,
adaptive_mrl_256_to_2048,112,45,0.7142857142857143,0.2999748632369899,0.11170129443017544,0.10859401696425104,0.8080357142857143
adaptive_mrl_512_to_2048,112,42,0.7232142857142857,0.3054864464860151,0.1142636830219758,0.10889659553580648,0.8223214285714285
